Sample ID,Gene Name,0894E,10763,24713,30862,36F37,668C5,74B28,94BFD,99EC2,A4A2E,117DD,1A5CC,1ED9C,24713-LV3,7EB7D,838CA,A3CD2,B2539,B367E,BDC56,E2C05,E5076,105A1,135D6,19A26,23EE4,24713-LV2,24BE8,39D8F,70146,7B6D3,98D38,BE497-LV1,C35CE,02B37,29B5D,5F02C,7CE52,978FA,B367E,B54F0-LV1,C472B,CEDF2,CF462,E4F33,14C39-LV,246D8-LV2,27D6D-LV2,31331-LV1,31331-LV3,32B32-LV2,59B77-LV2,6634F-LV2,78BBB-LV1,0A105-LV1,0A105-LV2,0A105-LV3,78BBB-LV2,78BBB-LV3,AF1FF-LV2,AFAA5-LV2,B23E3-LV2,B23E3-LV3,B25DF-LV2,B54F0,B8BE2-LV2,D6A67-LV2,DC737-LV2,EF5CB-LV2,43149-LV2,5F09B-LV2,1952B,80993-LV2,8E214-LV2,93EF1-LV2,98578-LV2,A7A62-LV2,C535E-LV2,D03B3-LV2,E1FF3-LV2,E344C-LV2,105A1-LV2,207EB-LV2,2E9CE-LV2,4E8C1-LV2,4EBAA-LV2,541DB-LV2,589A0-LV2,B1069-LV2,E9D4C-LV2,F2517-LV2,F3CE1-LV2,F8EE8-LV2
Negative,NEG_F,17,17,15,14,23,11,11,17,24,19,15,4,11,8,9,5,8,13,5,13,9,10,12,8,11,10,9,15,4,9,6,15,8,10,15,8,7,16,7,8,8,2,16,16,13,4,4,5,7,11,5,6,8,5,9,5,17,10,12,11,4,6,5,5,4,11,7,8,12,13,7,13,6,18,11,10,7,16,8,11,11,14,5,1,7,6,9,11,15,15,9,5,13
Negative,NEG_G,1,1,1,1,1,2,3,2,1,3,8,1,2,6,5,6,6,1,14,2,3,2,4,1,1,4,7,4,2,2,4,3,2,8,1,5,5,6,2,11,1,5,10,5,3,7,3,4,2,1,4,5,9,6,3,6,3,6,1,2,3,5,5,7,4,4,10,4,7,17,19,10,5,7,24,10,9,23,2,5,20,14,7,6,15,3,23,18,21,11,8,4,15
Negative,NEG_H,1,1,6,4,2,2,8,2,1,2,1,1,1,6,4,2,1,5,6,1,4,2,2,2,2,2,9,5,3,1,1,1,4,4,1,5,7,4,4,7,1,4,7,3,2,6,5,4,2,3,8,2,10,4,2,6,2,1,5,3,2,8,9,4,6,4,6,4,4,6,13,13,4,8,19,10,8,22,4,7,24,16,8,5,14,6,18,10,14,12,10,6,10
Endogenous,ACE,101.61,112.69,77.39,200.75,68.72,166.93,96.51,190.57,291.02,188.87,148.94,159.65,166.43,77.13,116.04,138.04,165.16,90.33,168.29,144.29,107.54,65.81,196.39,207.92,219.34,80.21,42.85,174.17,198.14,124.41,157.71,161.25,35.89,157.59,339.09,130.16,108.65,181.6,168.56,169.56,217.09,232.3,156.87,87.85,74.46,118,136.25,49.7,90.31,48.66,195.04,55.9,116.99,61.4,59.72,153.02,48.39,65.25,54.86,189.52,70.07,33.97,63.59,102.02,104.29,91.81,79.65,208.81,212.14,175.16,52.37,96.9,76.84,119.84,95.92,145.57,32.17,77.55,165.28,133.04,110.37,140.86,118.78,80.15,65.89,76.88,127.91,49.21,47.04,58.47,56.09,101.69,105.75
Endogenous,ACE2,749.34,1727.98,814.44,850.79,1351.54,1105.19,988.39,435.59,2169.98,697.38,1051.52,1375.47,2781.68,1738.53,1104.54,1775.32,1308.61,1367.27,1080.57,2469,1053.88,1003.01,2319.3,569.29,900.2,1620.3,817.99,1372.26,1377.27,704.03,1806.85,1306.13,1049.9,1145.54,1205.64,1727.78,3930.5,2248.88,989.89,1054.88,639.84,1096.95,894.54,1549.15,805.87,816.38,1174.86,988.83,1935.76,1740.48,1654.37,2656.55,890.95,405.8,936.74,2571.09,1443.29,494.96,323.25,718.58,1383.8,1818.05,1800.5,1198.77,627.76,1305.48,1194.8,1188.43,1270.72,1026.17,1306.04,980.77,2485.83,1464.29,1042.61,1499.2,829.72,2153.88,1667.52,2144.52,1808.95,2375.29,1234.17,1851.52,1459.72,924.48,1609.9,759.19,1208.38,1029.73,847.65,1187.79,1434.25
Endogenous,AGER,133.36,75.13,114.24,109.93,122.17,51.81,119.8,95.28,113.88,96.86,89.36,155.56,71.33,68.79,51.57,118.87,76.23,119.07,123.14,96.19,25.81,63.18,93.52,113.86,141.66,68.18,50.64,79.17,87.7,96.13,166.72,193.5,35.89,94.96,339.09,102.08,86.92,116.14,82.75,100.07,68.55,87.11,88.36,49.28,52.95,55.39,87.41,73.25,66.75,56.14,84.9,71.56,101.24,40.05,37.72,64.43,42.7,68.44,65.24,89.49,87.58,69.72,54.51,66.32,65.43,80.61,44.25,93.3,82.73,50.36,144.18,72.02,119.1,61.99,48.58,42.02,49.92,71.3,146.92,71.48,80.13,88.38,80.32,88.17,57.74,50.63,81.81,182.18,97.95,33.78,50.3,58.98,63.58
Endogenous,AGTR2,152.41,112.69,99.5,90.81,244.35,253.27,193.02,95.28,56.94,92.01,80.43,216.96,57.74,139.67,47.28,237.73,110.11,86.22,233.97,160.32,90.33,142.16,112.22,84.16,223.91,128.34,46.74,100.28,126.68,96.13,279.36,225.75,58.33,149.51,1167.96,74.01,146.68,194.27,162.43,202.92,74.27,77.43,79.43,100.71,77.77,91.51,95.12,143.88,168.84,86.09,167.5,301.88,197.99,101.45,47.15,64.43,45.55,63.66,124.56,121.08,68.12,84.02,103.56,130.08,124.73,147.79,73.75,222.14,118.8,226.25,101.51,72.02,61.47,147.39,46.71,141.07,72.1,98.19,121.21,105.24,122.05,81.94,101.81,48.09,47.07,69.38,65.08,98.41,71.77,82.51,18.5,75.25,198.1
Endogenous,ATP2A2,8388.83,19402.16,4031.65,10916.91,12507.5,7632.74,6745.65,5022.86,8097.9,10567.2,8319.81,6926.47,10165.53,7733.74,11582.61,8086.74,9355.08,6277.95,7707.68,10837.94,7622.34,9000.76,5728.12,10351.26,14755.02,9934.35,4345.07,9389.43,7929.02,17688.35,6132.48,8256.02,17709.25,8622.88,17104.98,9963.45,10544.71,8993.4,10459.69,8083.25,12939.62,13992.62,10925.13,9072.08,14005.96,10114.47,13442.82,11015.81,7841.19,7455.99,10316.31,11493.84,12563.35,5107.18,12312.75,5822.71,13752.49,10355.99,5216.52,11031.38,8756.27,17504.79,12966.89,10482.88,9600.41,8226.97,10626.3,12166.46,10343.94,10206.94,16057.19,12763.09,18173.06,10896.09,15382.61,8235.85,13867.94,11209.04,9270.52,9564.94,14250.85,8770.17,11420.85,27195.67,14055.02,11858.89,14089.56,8035.34,19137.18,20356.9,24570.4,11806.67,14104.93
Endogenous,BACE1,952.55,582.25,788.64,903.37,923.94,1007.34,968.42,857.56,879.38,1147.77,959.18,1109.38,988.36,812.98,1044.37,1234.67,1317.08,907.41,1159.59,1058.14,1213.04,945.09,1084.84,1034.63,1334.3,1038.75,823.83,899.89,1016.71,1294.96,1081.41,919.13,762.75,1056.65,1243.31,737.56,912.68,1074.82,1161.51,979.83,816.94,1006.62,1148.71,968.49,941.56,852.51,1028.33,954.83,848.12,756.08,968.3,1288.03,1169.94,1356.22,958.74,970.45,831.24,1300.27,1367.15,997.59,866.09,1015.39,1044.69,941.16,838.37,873.3,846.68,997.4,986.45,1121.05,1197.42,1029.22,895.21,1124.05,1041.99,1136.78,846.36,1418.41,1160.65,1064.32,1161.04,1125.04,1085.98,328.62,1075.65,785.72,1347.31,684.79,1300.99,1147.33,849.39,1047.45,1140.44
Endogenous,CASQ2,22181.82,31028.43,11770.65,30518.61,37415.59,31002.95,28866.19,11896.97,31461.59,29168.75,25537.33,30481.39,27059.38,20937.38,35895.35,33834.7,37992.02,38772.2,29513.12,39103.18,29779.59,30519.38,33751.46,34132.93,30675.28,37728.05,13685.69,24046.23,27701.23,24375.21,30265.88,34056.08,20603.21,31568.06,33041.99,39024.38,37495.91,31898.16,29197.03,25471.43,22091.61,40300.18,30244.66,25135.7,18712.12,25866.55,42662.77,31899.02,29904.1,30340.5,40420.84,36959.18,37478.56,12392.86,24603.49,38040.87,30283.38,15873.78,10308.48,29090.63,32781.04,30152.51,32129.24,39893.61,22135.12,29685.6,31312.49,28726.8,39742.27,34676.61,43509.91,30431.34,31647.25,39652.95,53155.29,38698.58,38273.83,46931.88,34892.99,36579.88,59017.18,47100.76,42238.82,45951.3,59112.55,45209.68,50731.73,26141.65,65728.59,33890.27,46723.89,36821.35,38554.81
